"Tags : imprimable, mulit utilité, impression 3D",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Numéro,Dénomination commune,Référence,Fabricant,Quantité,Prix unitaire,Prix de l'ensemble,Lien de commande,Commentaire,,,
1,Poubelle grande capacité,Top Star,Porte Sac Poubelle sur Pied avec Couvercle,1,10,10,https://www.amazon.fr/dp/B001DCNAU6,Electronique,,,
2,Station à air chaud,Duratool,D01841,1,"93,01","93,01",https://fr.farnell.com/duratool/d01841/station-a-air-chaud-500-deg-c/dp/2542911,"774,28",,,
3,"""Station de soudage"" (brasure)",Weller,T0053298399,2,156,312,https://fr.farnell.com/weller/t0053298399/soldering-station-450deg-c-70w/dp/2855108,Usage general,,,
4,Retenue de panne,Weller,T0058770714,2,"6,4","12,8",https://fr.farnell.com/weller/t0058770714/support-de-panne-fer-a-souder/dp/2851723,"194,88",,,
5,Tapis silicone pour soudure,,,5,"6,19","30,95",https://fr.aliexpress.com/item/4000351228739.html,Poste informatique,,,
6,Fil de soudure,EDSYN,SS1250,2,"23,81","47,62",https://fr.farnell.com/edsyn/ss1250/solder-wire-fsw32-flux-1mm/dp/871412,"2300,03",,,
7,Pâte à souder,MG CHEMICALS,4902P-25G,2,"20,11","40,22",https://fr.farnell.com/mg-chemicals/4902p-25g/pate-souder-sans-nettoyage-138/dp/3018418,Imprimante 3D,,,
8,Flux de soudure,CHEMTRONICS,1663183,2,"13,34","26,68",https://fr.farnell.com/chemtronics/cw8300/stylo-flux-base-eau/dp/1663183?st=chemtronics%20flux,"1309,68",,,
9,Imprimante 3D,CR 10 V2,Creality,2,"519,99","1039,98",https://www.amazon.fr/dp/B07XMCNYBB/,Informatique raspberry,,,
,Imprimante 3D haute performance,Ultimaker,V3 EXTENDED,0,"4399,94",0,https://www.ldlc.com/fiche/PB00221390.html,97,,,
,Nébuliseur pour impression,Polymaker,Polysher,0,"364,95",0,https://eu.polymaker.com/product/polysher/,Scan 3D grande taille,,,
,Pistolet à air chaud/décapeur,,,0,,0,,"316,93",,,
,Pistolet à air chaud pour soudure,,,0,,0,,CNC+Laser,,,
,Tapis anti-vibration,,,,,0,,"215,99",,,
,Hotte Aspirante,,,,,0,,,,,
,Ventilateur puissant,EQUATION,Jervis 4,2,"49,9","99,8",https://www.leroymerlin.fr/v3/p/produits/brasseur-d-air-a-poser-equation-jervis-4-d-45-cm-120-w-e1501394916,,,,
,Gants,,,,,0,,,,,
,Spatule pour impression  3D (I3D),,,,,0,,,,,
,Pince pour buse d'imprimante 3D,,,,,0,,,,,
,Sachets anti-humidité,,,,,0,,,,,
,Colle-laque pour adhérence plateau,Plus,3DLAC,2,"12,97","25,94",https://www.amazon.fr/dp/B07K6N26PX,,,,
,Module-buse de rechange type AA,,,0,"119,95",0,https://www.ldlc.com/fiche/PB00258248.html,,,,
,Module-buse de rechange type BB,,,0,"119,95",0,https://www.ldlc.com/fiche/PB00258249.html,,,,
,Nettoyant plateau,,,1,"6,2","6,2",https://www.makershop.fr/accessoires/774-nettoyant-plateau-imprimante-3d-nanovia-500ml.html,,,,
,Ebavureur circulaire pour impression 3D,Silverline,282388,1,"10,16","10,16",https://www.amazon.fr/gp/product/B000LFXG96/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=4527896-21&camp=1642&creative=6746&linkCode=as2&creativeASIN=B000LFXG96&linkId=322a21c846676f22968bb0826caeae30,,,,
,Scalpel pour I3D,Washati,Scalpel,1,"8,5","8,5",https://www.amazon.fr/gp/product/B00LIXZ3P0,,,,
,Brosses à poil métallique pour buse,Gunpla,Ensemble de 9 Mini Brosses en Fil Métallique,1,"9,99","9,99",https://www.amazon.fr/gp/product/B073B33JN9,,,,
,Gants (à usage thermique léger),,,,,0,,,,,
,Set clefs allen,,,,,0,,,,,
,Clip à filament ,,,,,0,,,,,
,Poubelle,Sundis,2044018,2,"13,69","27,38",https://www.amazon.fr/dp/B00KGW5GHO/,,,,
,Poubelles spécialisées,WENKO,Poubelle à couvercle oscillant Economic gris,3,10,30,https://www.amazon.fr/dp/B011BL29OG,,,,
,Balais + pelle,,,,,0,,,,,
,Visseuse perceuse,,,0,,0,,,,,
,Lubrifiant ,WD-40 Specialist,Lubrifiant Sec Au PTFE Anti Friction,2,"13,85","27,7",https://www.amazon.fr/gp/product/B00D4OHVEM,,,,
,Extincteur pour installations électriques,,,2,,0,,,,,
,Stylo 3D,,,,,0,,,,,
,Support pour stylo 3D,,,,,0,,,,,
,Bobines impression 3D,,,,,0,,,,,
,Bobine spécial stylo,,,,,0,,,,,
,Transformateur 220V-24V,Sans référence ni marque,24V6A,1,"12,58","12,58",https://fr.aliexpress.com/item/32983648084.html,,,,
,Oscilloscope,SDS1052DL,Siglent,0,289,0,https://www.amazon.fr/Siglent-SDS1052DL-Oscilloscope-num%C3%A9rique-canaux/dp/B00DRABSBA/ref=as_li_ss_tl?ie=UTF8&qid=1551876856&sr=8-1&keywords=sds1052dl&linkCode=sl1&tag=4527896-21&linkId=7b8a22ddc85c45591c453419e1ac6855&language=fr_FR,,,,
,Multimètre précis,EEVblog,BM235,0,105,0,https://www.amazon.fr/dp/B01MU2MKZ7/,,,,
,Multimètre d'appoint (mauvaise qualité),,DT830B,2,"2,52","5,04",https://fr.aliexpress.com/item/4001150910699.html,,,,
,Alimentation de laboratoire (mauvaise qualité),,,1,"8,8","8,8",https://fr.aliexpress.com/item/4000766900344.html,,,,
,3ème main,,,3,"41,8","125,4",https://www.amazon.fr/dp/B07FY9LMQH,,,,
,Plieur de composant,,,,,0,,,,,
,Repose objets aimanté,Donau Elektronik,RS40 4 pièces,2,"14,99","29,98",https://www.conrad.fr/p/set-de-bacs-magnetiques-donau-elektronik-rs40-4-pieces-419843?gclid=Cj0KCQjwl4v4BRDaARIsAFjATPkO3-GJIaDCE8HQEK_CGrZfioate2CUsdp0qYI1qKmmxgADnsz6d4caAuxgEALw_wcB&gclsrc=aw.ds,,,,
,Autre plieur de composant,,,2,"14,6","29,2",https://www.amazon.fr/dp/B07B2XHHFZ,,,,
,,,,,,0,,,,,
,Creality :,,,,,0,,,,,
,Plateau d'impression supplémentaire  T1,,,2,"14,99","29,98",https://www.creality3d.shop/collections/accessories/products/creality-original-replacement-3d-printer-build-surface-plate-for-ender-3-3d-printer-235x235mm-pack-of-2,,,,
,Plateau d'impression supplémentaire  T2,,,1,"29,99","29,99",https://www.creality3d.shop/collections/accessories/products/upgrade-silicon-carbon-ender-3-build-surface-tempered-glass-plate-with-special-chemical-coating-235x235x3mm-for-mk2-mk3-hot-bed,,,,
,14 Buses supplémentaires (également pour l'ultimaker ?),,,2,"16,99","33,98",https://www.creality3d.shop/collections/accessories/products/10pcs-mk8-extruder-nozzle-for-3d-printer-makerbot-creality-cr-10-0-2-0-4-0-6-0-8-1-0mm,,,,
,Extrudeur supplémentaire,,,1,"48,99","48,99",https://www.creality3d.shop/collections/accessories/products/creality-3d-printer-full-assemble-mk8-exturder-set-for-cr-10-cr-10s-s4-s5,,,,
,Filament PLA,Extrafill,Traffic White 750g,3,"21,99","65,97",,,,,
,Scan 3D,XBOX 360,KINECT SENSOR,2,40,80,,,,,
,License logiciel Scan 3D,Occipital,Skanect pro,1,119,119,https://skanect.occipital.com/download/,,,,
,Spray matifiant,,,2,"28,94","57,88",https://www.ldlc.com/fiche/PB00255973.html,,,,
,Moteur pour plateforme,,,1,"17,63","17,63",https://fr.aliexpress.com/item/4000680376728.html,,,,
,Billes pour roulement à encoches,Sans marque ni référence,6MM 50PCS,1,"2,86","2,86",https://fr.aliexpress.com/item/33024364912.html,,,,
,Panneau mdf,Leroy Merlin,Panneau médium Naturel Ep.22 mm x L.250 x l.122 cm,1,"24,9","24,9",https://www.leroymerlin.fr/v3/p/produits/panneau-medium-mdf-naturel-ep-22-mm-x-l-250-x-l-122-cm-e1400533235,,,,
,Transformateur,Sans marque ni référence,12V15A,1,"14,66","14,66",https://fr.aliexpress.com/item/4000432782484.html,,,,
,,,,,,,,,,,
