"Tags : imprimable, mulit utilité, impression 3D",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Numéro,Dénomination commune,Référence,Fabricant,Quantité,Prix unitaire,Prix de l'ensemble,Lien de commande,,,,
1,Imprimante 3D,,,2,,0,,,,,
2,Graveuse Laser,,,,,0,,,,,
3,Poste à braser,T0053298399,Weller,3,,0,,,,,
4,,T0058770714,Weller,,,0,,,,,
5,,,,,,0,,,,,
6,,,,,,0,,,,,
7,,,,,,0,,,,,
8,,,,,,0,,,,,
9,Imprimante 3D,CR 10 V2,Creality,2,"519,99","1039,98",https://www.amazon.fr/dp/B07XMCNYBB/,,,,
,Imprimante 3D haute performance,Ultimaker,V3 EXTENDED,1,"4399,94","4399,94",https://www.ldlc.com/fiche/PB00221390.html,,,,
,Nébuliseur pour impression,,,,,0,,,,,
,Pistolet à air chaud/décapeur,,,,,0,,,,,
,Pistolet à air chaud pour soudure,,,,,0,,,,,
,Tapis anti-vibration,,,,,0,,,,,
,Hotte Aspirante,,,,,0,,,,,
,Ventilateur puissant,,,,,0,,,,,
,Gants,,,,,0,,,,,
,Spatule pour impression  3D (I3D),,,,,0,,,,,
,Pince pour buse d'imprimante 3D,,,,,0,,,,,
,Sachets anti-humidité,,,,,0,,,,,
,Colle-laque pour adhérence plateau,Plus,3DLAC,2,"12,97","25,94",https://www.amazon.fr/dp/B07K6N26PX,,,,
,Module-buse de rechange type AA,,,1,"119,95","119,95",https://www.ldlc.com/fiche/PB00258248.html,,,,
,Module-buse de rechange type BB,,,1,"119,95","119,95",https://www.ldlc.com/fiche/PB00258249.html,,,,
,Scalpel pour impression 3D,,,,,0,,,,,
,Scalpel circulaire pour impression 3D,,,,,0,,,,,
,Ebavureur pour I3D,,,,,0,,,,,
,Brosses à poil métallique pour buse,,,,,0,,,,,
,Gants (à usage thermique léger),,,,,0,,,,,
,Set clefs allen,,,,,0,,,,,
,Clip à filament ,,,,,0,,,,,
,Poubelle,,,,,0,,,,,
,Poubelles spécialisées,,,,,0,,,,,
,Nettoyant plateau,,,,,0,,,,,
,Visseuse perceuse,,,,,0,,,,,
,Lubrifiant ,,,,,0,,,,,
,Extincteur pour installations électriques (Poudres),,,3,,0,,,,,
,Stylo 3D,,,,,0,,,,,
,Support pour stylo 3D,,,,,0,,,,,
,Bobines impression 3D,,,,,0,,,,,
,Bobine spécial stylo,,,,,0,,,,,
,Bobine dégradé,,,,,0,,,,,
,Oscilloscope,SDS1052DL,Siglent,2,289,578,https://www.amazon.fr/Siglent-SDS1052DL-Oscilloscope-num%C3%A9rique-canaux/dp/B00DRABSBA/ref=as_li_ss_tl?ie=UTF8&qid=1551876856&sr=8-1&keywords=sds1052dl&linkCode=sl1&tag=4527896-21&linkId=7b8a22ddc85c45591c453419e1ac6855&language=fr_FR,,,,
,Multimètre précis,,,,,0,,,,,
,Multimètre d'appoint,,,,,0,,,,,
,Alimentation de laboratoire,,,,,0,,,,,
,3ème main,,,3,,0,https://www.amazon.fr/dp/B07FY9LMQH,,,,
